family,period,unit,candidates,observations,cost_changes,cost_changes_one_percent,app_changes,app_strict_changes,continuous_changes,fixed_scale_changes,pairs_crossing
aem-electrolyzer-oer,monthly,$/cm2,4,89,0,0,0,0,0,0,1
aem-electrolyzer-oer,daily,$/cm2,4,176,0,0,0,0,0,0,1
ammonia-cracking,monthly,$/lb,4,89,8,8,0,0,0,0,1
ammonia-cracking,daily,$/lb,4,176,0,0,0,0,0,0,0
ammonia-synthesis,monthly,$/lb,4,89,0,0,0,0,0,0,0
ammonia-synthesis,daily,$/lb,4,176,0,0,0,0,0,0,0
co-prox,monthly,$/lb,3,89,0,0,8,6,4,1,0
co-prox,daily,$/lb,3,176,0,0,6,2,6,6,0
co2-electroreduction,monthly,$/lb,4,89,7,7,0,0,0,0,1
co2-electroreduction,daily,$/lb,4,176,0,0,0,0,0,0,0
co2-methanation,monthly,$/lb,4,89,0,0,9,3,0,0,0
co2-methanation,daily,$/lb,4,176,0,0,7,2,0,0,0
co2-methanol,monthly,$/lb,4,89,0,0,0,0,0,0,0
co2-methanol,daily,$/lb,4,176,0,0,0,0,0,0,0
co2-to-formate,monthly,$/lb,4,89,0,0,3,3,3,2,0
co2-to-formate,daily,$/lb,4,176,0,0,0,0,0,0,0
dry-reforming,monthly,$/lb,4,89,9,7,0,0,0,0,3
dry-reforming,daily,$/lb,4,176,0,0,0,0,0,0,0
ethylene-epoxidation,monthly,$/lb,4,89,0,0,0,0,0,0,0
ethylene-epoxidation,daily,$/lb,4,176,0,0,0,0,0,0,0
fischer-tropsch-synthesis,monthly,$/lb,4,89,0,0,0,0,0,2,0
fischer-tropsch-synthesis,daily,$/lb,4,176,0,0,0,0,0,0,0
formic-acid-dehydrogenation,monthly,$/lb,4,89,0,0,0,0,0,0,1
formic-acid-dehydrogenation,daily,$/lb,4,176,0,0,0,0,0,0,0
fuel-cell-orr,monthly,$/lb,4,89,0,0,0,0,0,1,0
fuel-cell-orr,daily,$/lb,4,176,0,0,0,0,0,9,0
glycerol-electrooxidation,monthly,$/lb,4,89,0,0,0,0,0,0,1
glycerol-electrooxidation,daily,$/lb,4,176,0,0,0,0,0,0,1
hydrodeoxygenation,monthly,$/lb,4,89,0,0,0,0,0,0,0
hydrodeoxygenation,daily,$/lb,4,176,0,0,0,0,0,0,0
hydrogen-evolution-reaction,monthly,$/lb,4,89,2,2,0,0,0,0,2
hydrogen-evolution-reaction,daily,$/lb,4,176,0,0,0,0,0,0,1
methane-pyrolysis,monthly,$/lb,4,89,0,0,0,0,0,0,0
methane-pyrolysis,daily,$/lb,4,176,0,0,0,0,0,0,0
methanol-to-olefins,monthly,$/lb,4,89,0,0,0,0,0,0,0
methanol-to-olefins,daily,$/lb,4,176,0,0,0,0,0,0,0
nh3-scr,monthly,$/lb,3,89,0,0,0,0,0,0,0
nh3-scr,daily,$/lb,3,176,0,0,0,0,0,0,0
nitrogen-reduction-reaction,monthly,$/lb,4,89,1,0,2,2,2,2,2
nitrogen-reduction-reaction,daily,$/lb,4,176,2,0,14,12,14,16,1
olefin-metathesis,monthly,$/lb,4,89,0,0,0,0,3,3,1
olefin-metathesis,daily,$/lb,4,176,0,0,0,0,0,0,0
pem-electrolyzer-oer,monthly,$/cm2,4,89,0,0,0,0,0,0,0
pem-electrolyzer-oer,daily,$/cm2,4,176,0,0,0,0,0,0,0
photocatalytic-co2-reduction,monthly,$/lb,4,89,0,0,0,0,0,0,0
photocatalytic-co2-reduction,daily,$/lb,4,176,0,0,0,0,0,0,0
photocatalytic-water-splitting,monthly,$/lb,4,89,0,0,3,1,1,2,0
photocatalytic-water-splitting,daily,$/lb,4,176,0,0,4,2,4,8,0
propane-dehydrogenation,monthly,$/lb,4,89,0,0,0,0,0,0,0
propane-dehydrogenation,daily,$/lb,4,176,0,0,0,0,0,0,0
rwgs,monthly,$/lb,4,89,0,0,3,1,4,7,0
rwgs,daily,$/lb,4,176,0,0,0,0,0,0,0
selective-acetylene-hydrogenation,monthly,$/lb,4,89,0,0,0,0,0,0,0
selective-acetylene-hydrogenation,daily,$/lb,4,176,0,0,0,0,0,0,0
steam-methane-reforming,monthly,$/lb,3,89,0,0,0,0,0,0,0
steam-methane-reforming,daily,$/lb,3,176,0,0,0,0,0,0,0
syngas-methanol,monthly,$/lb,3,89,0,0,0,0,0,0,0
syngas-methanol,daily,$/lb,3,176,0,0,0,0,0,0,0
water-gas-shift,monthly,$/lb,4,89,11,7,0,0,0,0,1
water-gas-shift,daily,$/lb,4,176,0,0,0,0,0,0,0
