family,candidate,functional_unit,reference_balanced_winner,joint_scenarios,first_rank_share_pct,mean_rank,mean_regret_score_points,worst_regret_score_points
aem-electrolyzer-oer,cr-doped-amorphous,$/cm2,True,157619,70.863919,1.550536,1.798814,27.0
aem-electrolyzer-oer,nico2o4-spinel,$/cm2,False,157619,16.678192,2.996701,22.553303,100.0
aem-electrolyzer-oer,nife-ldh-scalable,$/cm2,False,157619,0.826043,3.46462,25.393817,100.0
aem-electrolyzer-oer,nife-seed-assisted,$/cm2,False,157619,11.631846,1.988142,8.84585,37.5
ammonia-cracking,co-mgo-la2o3,$/lb,True,157619,41.556538,1.747423,2.041229,20.0
ammonia-cracking,ni-alumina-baseline,$/lb,False,157619,9.528674,2.747594,5.062523,33.0
ammonia-cracking,ni-mgo-ceo2-interface,$/lb,False,157619,28.34303,2.295041,3.36318,14.0
ammonia-cracking,ru-mgo-premium,$/lb,False,157619,20.571758,3.209943,21.339354,100.0
ammonia-synthesis,cs-co3mo3n,$/lb,True,157619,44.766177,1.777324,3.227026,22.0
ammonia-synthesis,fused-iron-baseline,$/lb,False,157619,32.477684,2.241893,6.111711,32.8
ammonia-synthesis,ru-cafh-lowtemp,$/lb,False,157619,5.77405,3.580539,26.681316,100.0
ammonia-synthesis,ru-graphite-kaap,$/lb,False,157619,16.98209,2.400244,13.362055,64.1
co-prox,au-tio2-nanogold,$/lb,False,157619,3.084019,2.808062,25.678538,100.0
co-prox,cuo-ceo2,$/lb,True,157619,23.612636,1.924971,3.819099,11.7
co-prox,pt-fe-alumina,$/lb,False,157619,73.303345,1.266967,0.861801,16.5
co2-electroreduction,ag-co-mea,$/lb,True,157619,95.675648,1.077694,0.013566,1.6
co2-electroreduction,au-co-co2rr,$/lb,False,157619,0.0,3.692829,25.260385,100.0
co2-electroreduction,cu-multicarbon-co2rr,$/lb,False,157619,3.070061,2.510135,3.101492,7.4
co2-electroreduction,sn-formate-co2rr,$/lb,False,157619,1.25429,2.719342,3.260498,8.0
co2-methanation,ni-alumina-baseline,$/lb,False,157619,39.90255,1.806629,1.356527,18.0
co2-methanation,ni-ceo2-lowtemp,$/lb,True,157619,49.904517,1.639384,0.958951,12.0
co2-methanation,ru-layered-titanate,$/lb,False,157619,9.837646,3.166071,25.309706,100.0
co2-methanation,ru-mnox-photothermal,$/lb,False,157619,0.355287,3.387916,25.588513,100.0
co2-methanol,cu-zrox-interface,$/lb,False,157619,32.134451,1.82964,2.643176,10.3
co2-methanol,cza-baseline,$/lb,True,157619,58.328628,1.677831,1.719746,17.0
co2-methanol,in2o3-zro2-lowtemp,$/lb,False,157619,1.99278,2.930916,9.448584,36.2
co2-methanol,pd-in2o3,$/lb,False,157619,7.544141,3.561614,24.91073,100.0
co2-to-formate,ir-pincer-co2fa,$/lb,False,157619,16.150337,3.339204,21.110629,100.0
co2-to-formate,pdag-ndcarbon-co2fa,$/lb,True,157619,45.740044,1.684239,1.600294,20.7
co2-to-formate,ru-pincer-co2fa,$/lb,False,157619,16.916108,2.380348,3.688039,25.4
co2-to-formate,ru-sa-ldh,$/lb,False,157619,21.193511,2.59621,3.806272,18.0
dry-reforming,ir-ceria-premium,$/lb,False,157619,11.03674,3.554387,23.862171,100.0
dry-reforming,ni-co-almgo,$/lb,True,157619,49.947659,1.595322,1.100172,11.0
dry-reforming,ni-single-atom-ceria,$/lb,False,157619,38.93122,1.842697,1.027058,8.2
dry-reforming,ni-zeolite-stable,$/lb,False,157619,0.084381,3.007594,2.777362,12.2
ethylene-epoxidation,ag-alumina-baseline,$/lb,False,157619,28.173634,2.045318,3.2673,22.0
ethylene-epoxidation,agcs-industrial,$/lb,True,157619,65.093675,1.349063,0.455645,6.0
ethylene-epoxidation,agcsre-modern,$/lb,False,157619,6.732691,3.511747,24.537602,100.0
ethylene-epoxidation,cu-ag-bimetallic,$/lb,False,157619,0.0,3.093872,14.317804,47.8
fischer-tropsch-synthesis,co-alumina-fts,$/lb,False,157619,65.697029,1.571124,2.129654,33.9
fischer-tropsch-synthesis,co-cnt-structured,$/lb,False,157619,0.0,3.865682,31.131958,100.0
fischer-tropsch-synthesis,fe-cu-k-precipitated,$/lb,False,157619,1.421148,2.799072,7.675307,26.3
fischer-tropsch-synthesis,fe-silica-lower-olefin,$/lb,True,157619,32.881823,1.764121,4.433372,22.3
formic-acid-dehydrogenation,aupd-mil101,$/lb,False,157619,0.0,3.703944,26.630487,100.0
formic-acid-dehydrogenation,co-nc-nonnoble,$/lb,True,157619,44.217385,1.981658,4.10138,25.1
formic-acid-dehydrogenation,pd-carbon-baseline,$/lb,False,157619,10.600245,2.75652,17.693655,100.0
formic-acid-dehydrogenation,ptmo-gasphase-premium,$/lb,False,157619,45.18237,1.557877,4.082282,43.7
fuel-cell-orr,fen-c-pgmfree-cathode,$/lb,True,157619,24.431699,2.602097,7.211577,22.3
fuel-cell-orr,ptc-baseline-cathode,$/lb,False,157619,28.835991,2.210317,5.186168,23.0
fuel-cell-orr,ptco-intermetallic-cathode,$/lb,False,157619,44.247838,1.656812,2.557264,22.7
fuel-cell-orr,ptni-octahedra,$/lb,False,157619,2.484472,3.530774,23.885829,100.0
glycerol-electrooxidation,au-c-glycerol-selectivity,$/lb,False,157619,0.0,3.133512,22.481379,100.0
glycerol-electrooxidation,niooh-glycerol-anode,$/lb,True,157619,75.809388,1.371776,0.596532,6.0
glycerol-electrooxidation,pt-bi-dha,$/lb,False,157619,0.0,3.736618,24.276814,100.0
glycerol-electrooxidation,pt-c-glycerol-anode,$/lb,False,157619,24.190612,1.758094,8.491077,44.6
hydrodeoxygenation,comos-hdo,$/lb,True,157619,88.861114,1.166757,0.162439,4.0
hydrodeoxygenation,nimo-carbon-hdo,$/lb,False,157619,0.0,2.580292,4.950062,10.0
hydrodeoxygenation,pt-silica-hdo,$/lb,False,157619,10.954898,2.499603,10.913267,77.5
hydrodeoxygenation,ru-carbon-hdo,$/lb,False,157619,0.183988,3.753348,25.857584,100.0
hydrogen-evolution-reaction,mos2-acidic-her-cathode,$/lb,False,157619,0.000634,2.905437,11.907947,28.0
hydrogen-evolution-reaction,nimo-alkaline-her-cathode,$/lb,True,157619,77.809782,1.332517,1.089437,11.6
hydrogen-evolution-reaction,pt-carbon-her-cathode,$/lb,False,157619,20.106079,2.799174,20.575807,100.0
hydrogen-evolution-reaction,ru-c2n-her,$/lb,False,157619,2.083505,2.962872,19.02635,100.0
methane-pyrolysis,activated-carbon-autocatalytic,$/lb,True,157619,51.463973,1.821392,3.214357,28.0
methane-pyrolysis,fe-alumina-pyrolysis,$/lb,False,157619,22.27333,2.187128,5.438028,31.5
methane-pyrolysis,molten-ni-bi,$/lb,False,157619,7.18251,3.499502,24.589175,100.0
methane-pyrolysis,ni-sio2-highload,$/lb,False,157619,19.080187,2.491977,10.347721,74.1
methanol-to-olefins,hzsm5-mth,$/lb,True,157619,59.445879,1.523693,1.121364,8.0
methanol-to-olefins,nano-sapo-34,$/lb,False,157619,0.0,3.944664,29.197592,100.0
methanol-to-olefins,sapo-34-light-olefin,$/lb,False,157619,21.513269,2.527494,18.501375,86.9
methanol-to-olefins,zn-zsm5-aromatics,$/lb,False,157619,19.040852,2.004149,2.65241,10.7
nh3-scr,cu-ssz-13,$/lb,False,157619,5.857796,2.780134,26.573619,100.0
nh3-scr,fe-zsm-5,$/lb,False,157619,13.315019,2.028137,4.765653,16.0
nh3-scr,v2o5-wo3-tio2,$/lb,True,157619,80.827185,1.191728,0.502687,14.0
nitrogen-reduction-reaction,aqueous-nrr-cu,$/lb,False,157619,1.166103,2.832349,8.014511,18.0
nitrogen-reduction-reaction,li-flow-shuttle,$/lb,False,157619,0.0,3.912542,38.563249,100.0
nitrogen-reduction-reaction,li-mediated-nrr,$/lb,True,157619,95.847582,1.043891,0.048907,9.2
nitrogen-reduction-reaction,plasma-nrr,$/lb,False,157619,2.986315,2.211218,5.387076,54.3
olefin-metathesis,mo-silica-alumina,$/lb,False,157619,40.707656,1.634194,2.350241,10.4
olefin-metathesis,re2o7-alumina-mild,$/lb,False,157619,0.541813,3.486775,27.335655,100.0
olefin-metathesis,w-h-alumina,$/lb,False,157619,0.0,3.392503,15.986191,39.7
olefin-metathesis,wo3-silica-oct,$/lb,True,157619,58.750531,1.486528,2.085344,21.9
pem-electrolyzer-oer,iro2-tio2-supported,$/cm2,False,157619,17.108978,2.596273,21.869848,100.0
pem-electrolyzer-oer,pem-irox-baseline,$/cm2,False,157619,1.919819,3.668549,26.768888,100.0
pem-electrolyzer-oer,pem-low-ir-interface,$/cm2,True,157619,80.971203,1.255223,0.945229,14.0
pem-electrolyzer-oer,pem-ru-rich-acidic,$/cm2,False,157619,0.0,2.479955,6.424788,17.4
photocatalytic-co2-reduction,bivo4-visible,$/lb,False,157619,0.564653,2.892913,12.464296,46.5
photocatalytic-co2-reduction,cu2o-mof-co2,$/lb,False,157619,2.818188,3.784252,26.693044,100.0
photocatalytic-co2-reduction,gcn-sns2-zscheme,$/lb,False,157619,16.934507,1.929019,7.705368,30.5
photocatalytic-co2-reduction,tio2-photo-co2,$/lb,True,157619,79.682652,1.393817,0.959851,20.0
photocatalytic-water-splitting,gcn-metal-free,$/lb,False,157619,2.795983,2.958178,9.655374,28.0
photocatalytic-water-splitting,pt-tio2-cocatalyst,$/lb,True,157619,65.616455,1.466524,1.571819,27.4
photocatalytic-water-splitting,srtio3-al-qe-benchmark,$/lb,False,157619,10.390879,3.257145,23.8858,100.0
photocatalytic-water-splitting,tio2-anatase-baseline,$/lb,False,157619,21.196683,2.318153,7.548492,36.0
propane-dehydrogenation,bn-odhp,$/lb,False,157619,0.006979,2.908437,13.228956,28.0
propane-dehydrogenation,crox-alumina-catofin,$/lb,True,157619,68.282377,1.508961,2.143779,17.3
propane-dehydrogenation,ptsn-alumina-pdh,$/lb,False,157619,30.230493,2.1676,15.371614,87.9
propane-dehydrogenation,ptzn-intermetallic-pdh,$/lb,False,157619,1.480152,3.415001,23.332818,100.0
rwgs,cs-fe-cu-alumina,$/lb,False,157619,0.30707,3.170379,7.237956,24.6
rwgs,cu-ceria-baseline,$/lb,True,157619,37.239165,1.839924,2.09993,15.0
rwgs,mo2n-hightemp,$/lb,False,157619,50.054879,1.614291,1.107825,9.0
rwgs,pt-tio2-premium,$/lb,False,157619,12.398886,3.375405,23.158275,100.0
selective-acetylene-hydrogenation,nizn-intermetallic,$/lb,True,157619,62.701832,1.81119,2.273763,16.0
selective-acetylene-hydrogenation,pd-alumina-baseline,$/lb,False,157619,6.945229,3.092819,20.143558,95.9
selective-acetylene-hydrogenation,pdag-bimetallic,$/lb,False,157619,10.966318,3.083048,20.447251,100.0
selective-acetylene-hydrogenation,pdcu-saa,$/lb,False,157619,19.386622,2.012943,7.967906,49.5
steam-methane-reforming,ni-calcium-aluminate,$/lb,True,157619,61.549686,1.467082,1.041801,14.0
steam-methane-reforming,rh-alumina-compact,$/lb,False,157619,12.183176,2.645354,24.156706,100.0
steam-methane-reforming,sn-ni-coking-resistant,$/lb,False,157619,26.267138,1.887564,3.968497,19.0
syngas-methanol,cza-industrial,$/lb,True,157619,91.877248,1.081228,0.103102,4.9
syngas-methanol,ga-promoted-cza,$/lb,False,157619,7.015017,2.022282,5.296405,18.4
syngas-methanol,pd-zno-intermetallic,$/lb,False,157619,1.107734,2.896491,29.932525,100.0
water-gas-shift,co-ceria-interface,$/lb,False,157619,46.887748,1.715212,1.352232,10.7
water-gas-shift,cu-zno-baseline,$/lb,True,157619,38.598139,1.743698,1.786506,16.0
water-gas-shift,fe-cr-hts,$/lb,False,157619,4.271059,3.133531,9.367959,30.1
water-gas-shift,pt-ceria-premium,$/lb,False,157619,10.243054,3.407559,24.330248,100.0
